timestamp,ip,username,event_type,severity,message
2026-04-01 08:00:00,185.77.44.10,dbadmin,FAIL,High,Failed password for invalid user dbadmin from 185.77.44.10 port 22 ssh2
2026-04-01 08:01:00,103.55.12.91,root,FAIL,High,login failed for root from 103.55.12.91
2026-04-01 08:02:00,45.13.201.7,root,FAIL,High,authentication failed for root from 45.13.201.7
2026-04-01 08:03:00,185.77.44.10,root,FAIL,High,Failed password for invalid user root from 185.77.44.10 port 22 ssh2
2026-04-01 08:04:00,103.55.12.91,dbadmin,FAIL,High,Access denied for dbadmin from 103.55.12.91
2026-04-01 08:05:00,45.13.201.7,root,FAIL,High,Access denied for root from 45.13.201.7
2026-04-01 08:06:00,185.77.44.10,admin,FAIL,High,Failed password for invalid user admin from 185.77.44.10 port 22 ssh2
2026-04-01 08:07:00,103.55.12.91,root,FAIL,High,Failed password for invalid user root from 103.55.12.91 port 22 ssh2
2026-04-01 08:08:00,45.13.201.7,root,FAIL,High,authentication failed for root from 45.13.201.7
2026-04-01 08:09:00,185.77.44.10,dbadmin,FAIL,High,Access denied for dbadmin from 185.77.44.10
2026-04-01 08:10:00,103.55.12.91,root,FAIL,High,Access denied for root from 103.55.12.91
2026-04-01 08:11:00,45.13.201.7,root,FAIL,High,Access denied for root from 45.13.201.7
2026-04-01 08:12:00,185.77.44.10,admin,FAIL,High,authentication failed for admin from 185.77.44.10
2026-04-01 08:13:00,103.55.12.91,admin,FAIL,High,Access denied for admin from 103.55.12.91
2026-04-01 08:14:00,45.13.201.7,admin,FAIL,High,Failed password for invalid user admin from 45.13.201.7 port 22 ssh2
2026-04-01 08:15:00,185.77.44.10,root,FAIL,High,Invalid user root from 185.77.44.10
2026-04-01 08:16:00,103.55.12.91,admin,FAIL,High,login failed for admin from 103.55.12.91
2026-04-01 08:17:00,45.13.201.7,root,FAIL,High,authentication failed for root from 45.13.201.7
2026-04-01 08:18:00,185.77.44.10,admin,FAIL,High,Failed password for invalid user admin from 185.77.44.10 port 22 ssh2
2026-04-01 08:19:00,103.55.12.91,root,FAIL,High,Invalid user root from 103.55.12.91
2026-04-01 08:20:00,45.13.201.7,root,FAIL,High,login failed for root from 45.13.201.7
2026-04-01 08:21:00,185.77.44.10,admin,FAIL,High,Access denied for admin from 185.77.44.10
2026-04-01 08:22:00,103.55.12.91,admin,FAIL,High,Failed password for invalid user admin from 103.55.12.91 port 22 ssh2
2026-04-01 08:23:00,45.13.201.7,dbadmin,FAIL,High,Invalid user dbadmin from 45.13.201.7
2026-04-01 08:24:00,10.0.0.22,admin,SUCCESS,High,session opened for user admin from 10.0.0.22
2026-04-01 08:29:00,10.0.0.15,backup,ALERT,High,unauthorized access attempt from 10.0.0.15 targeting account backup
2026-04-01 08:30:00,10.0.0.15,admin,SUCCESS,High,login successful for admin from 10.0.0.15
2026-04-01 08:31:00,172.16.0.8,intern,FAIL,High,authentication failed for intern from 172.16.0.8
2026-04-01 08:34:00,192.168.1.21,admin,FAIL,High,Access denied for admin from 192.168.1.21
2026-04-01 08:36:00,192.168.1.21,root,SUCCESS,High,User root successfully logged in from 192.168.1.21
2026-04-01 08:40:00,192.168.1.20,intern,FAIL,Medium,Failed password for invalid user intern from 192.168.1.20 port 22 ssh2
2026-04-01 08:42:00,10.0.0.15,svc_web,ALERT,High,error: blocked malware payload from 10.0.0.15
2026-04-01 08:43:00,10.0.0.15,backup,FAIL,Medium,Invalid user backup from 10.0.0.15
2026-04-01 08:47:00,172.16.0.8,root,ALERT,High,error: blocked malware payload from 172.16.0.8
2026-04-01 08:49:00,192.168.1.21,svc_web,FAIL,High,Access denied for svc_web from 192.168.1.21
2026-04-01 08:53:00,45.13.201.7,helpdesk,FAIL,Medium,Failed password for invalid user helpdesk from 45.13.201.7 port 22 ssh2
2026-04-01 08:54:00,45.13.201.7,root,ALERT,High,attack signature matched for root from 45.13.201.7
2026-04-01 08:59:00,10.0.0.22,helpdesk,FAIL,High,Access denied for helpdesk from 10.0.0.22
2026-04-01 09:02:00,185.77.44.10,admin,ALERT,High,admin privilege escalation denied for admin from 185.77.44.10
2026-04-01 09:05:00,10.0.0.15,admin,ALERT,High,error: blocked malware payload from 10.0.0.15
2026-04-01 09:09:00,185.77.44.10,dbadmin,FAIL,High,Access denied for dbadmin from 185.77.44.10
2026-04-01 09:11:00,192.168.1.20,dbadmin,SUCCESS,High,login successful for dbadmin from 192.168.1.20
2026-04-01 09:13:00,45.13.201.7,sajjid,FAIL,High,Access denied for sajjid from 45.13.201.7
2026-04-01 09:16:00,192.168.1.20,intern,SUCCESS,Low,session opened for user intern from 192.168.1.20
2026-04-01 09:18:00,103.55.12.91,admin,FAIL,High,Invalid user admin from 103.55.12.91
2026-04-01 09:19:00,45.13.201.7,root,ALERT,High,attack signature matched for root from 45.13.201.7
2026-04-01 09:24:00,10.0.0.22,backup,FAIL,High,Access denied for backup from 10.0.0.22
2026-04-01 09:26:00,10.0.0.22,intern,SUCCESS,Low,User intern successfully logged in from 10.0.0.22
2026-04-01 09:31:00,192.168.1.20,backup,FAIL,Medium,Failed password for invalid user backup from 192.168.1.20 port 22 ssh2
2026-04-01 09:34:00,192.168.1.20,backup,FAIL,Medium,Failed password for invalid user backup from 192.168.1.20 port 22 ssh2
2026-04-01 09:35:00,192.168.1.20,backup,SUCCESS,Low,Accepted password for backup from 192.168.1.20 port 22 ssh2
2026-04-01 09:36:00,103.55.12.91,backup,ALERT,High,error: blocked malware payload from 103.55.12.91
2026-04-01 09:40:00,45.13.201.7,helpdesk,FAIL,High,authentication failed for helpdesk from 45.13.201.7
2026-04-01 09:44:00,192.168.1.20,admin,ALERT,High,unauthorized access attempt from 192.168.1.20 targeting account admin
2026-04-01 09:48:00,10.0.0.22,helpdesk,FAIL,Medium,Failed password for invalid user helpdesk from 10.0.0.22 port 22 ssh2
2026-04-01 09:49:00,10.0.0.15,admin,FAIL,High,authentication failed for admin from 10.0.0.15
2026-04-01 09:51:00,172.16.0.8,root,FAIL,High,Invalid user root from 172.16.0.8
2026-04-01 09:53:00,192.168.1.20,admin,FAIL,High,Invalid user admin from 192.168.1.20
2026-04-01 09:58:00,185.77.44.10,admin,FAIL,High,authentication failed for admin from 185.77.44.10
2026-04-01 10:00:00,172.16.0.8,backup,FAIL,Medium,Invalid user backup from 172.16.0.8
2026-04-01 10:01:00,185.77.44.10,svc_web,FAIL,Low,login failed for svc_web from 185.77.44.10
2026-04-01 10:05:00,172.16.0.8,root,FAIL,High,authentication failed for root from 172.16.0.8
2026-04-01 10:08:00,185.77.44.10,sajjid,FAIL,Low,login failed for sajjid from 185.77.44.10
2026-04-01 10:09:00,172.16.0.8,root,FAIL,High,Failed password for invalid user root from 172.16.0.8 port 22 ssh2
2026-04-01 10:14:00,45.13.201.7,admin,FAIL,High,Access denied for admin from 45.13.201.7
2026-04-01 10:15:00,192.168.1.21,svc_web,SUCCESS,Low,Accepted password for svc_web from 192.168.1.21 port 22 ssh2
2026-04-01 10:20:00,185.77.44.10,admin,FAIL,High,Invalid user admin from 185.77.44.10
2026-04-01 10:25:00,10.0.0.15,dbadmin,SUCCESS,High,login successful for dbadmin from 10.0.0.15
2026-04-01 10:28:00,10.0.0.22,root,FAIL,High,login failed for root from 10.0.0.22
2026-04-01 10:32:00,103.55.12.91,sajjid,FAIL,Medium,Invalid user sajjid from 103.55.12.91
2026-04-01 10:37:00,103.55.12.91,admin,ALERT,High,admin privilege escalation denied for admin from 103.55.12.91
2026-04-01 10:39:00,192.168.1.21,intern,SUCCESS,Low,Accepted password for intern from 192.168.1.21 port 22 ssh2
2026-04-01 10:41:00,45.13.201.7,helpdesk,FAIL,High,Access denied for helpdesk from 45.13.201.7
2026-04-01 10:44:00,172.16.0.8,sajjid,SUCCESS,Low,session opened for user sajjid from 172.16.0.8
2026-04-01 10:45:00,45.13.201.7,dbadmin,ALERT,High,unauthorized access attempt from 45.13.201.7 targeting account dbadmin
2026-04-01 10:46:00,45.13.201.7,dbadmin,ALERT,High,error: blocked malware payload from 45.13.201.7
2026-04-01 10:51:00,10.0.0.15,backup,FAIL,Low,login failed for backup from 10.0.0.15
2026-04-01 10:56:00,192.168.1.20,admin,SUCCESS,High,User admin successfully logged in from 192.168.1.20
2026-04-01 10:59:00,10.0.0.15,root,FAIL,High,login failed for root from 10.0.0.15
2026-04-01 11:01:00,10.0.0.22,sajjid,ALERT,High,unauthorized access attempt from 10.0.0.22 targeting account sajjid
2026-04-01 11:02:00,45.13.201.7,sajjid,ALERT,High,error: blocked malware payload from 45.13.201.7
2026-04-01 11:07:00,10.0.0.22,root,SUCCESS,High,Accepted password for root from 10.0.0.22 port 22 ssh2
2026-04-01 11:10:00,185.77.44.10,intern,FAIL,High,authentication failed for intern from 185.77.44.10
2026-04-01 11:12:00,10.0.0.15,svc_web,SUCCESS,Low,login successful for svc_web from 10.0.0.15
2026-04-01 11:14:00,45.13.201.7,svc_web,ALERT,High,unauthorized access attempt from 45.13.201.7 targeting account svc_web
2026-04-01 11:16:00,10.0.0.15,svc_web,SUCCESS,Low,login successful for svc_web from 10.0.0.15
2026-04-01 11:19:00,103.55.12.91,svc_web,FAIL,Medium,Failed password for invalid user svc_web from 103.55.12.91 port 22 ssh2
2026-04-01 11:23:00,172.16.0.8,intern,FAIL,Low,login failed for intern from 172.16.0.8
2026-04-01 11:25:00,192.168.1.20,svc_web,FAIL,Low,login failed for svc_web from 192.168.1.20
2026-04-01 11:28:00,192.168.1.21,intern,ALERT,High,admin privilege escalation denied for intern from 192.168.1.21
2026-04-01 11:32:00,172.16.0.8,intern,SUCCESS,Low,Accepted password for intern from 172.16.0.8 port 22 ssh2
2026-04-01 11:33:00,192.168.1.21,root,ALERT,High,admin privilege escalation denied for root from 192.168.1.21
2026-04-01 11:36:00,10.0.0.22,intern,FAIL,Low,login failed for intern from 10.0.0.22
2026-04-01 11:40:00,172.16.0.8,admin,SUCCESS,High,User admin successfully logged in from 172.16.0.8
2026-04-01 11:45:00,185.77.44.10,svc_web,FAIL,Medium,Failed password for invalid user svc_web from 185.77.44.10 port 22 ssh2
2026-04-01 11:50:00,192.168.1.20,intern,ALERT,High,attack signature matched for intern from 192.168.1.20
2026-04-01 11:51:00,10.0.0.15,intern,ALERT,High,unauthorized access attempt from 10.0.0.15 targeting account intern
2026-04-01 11:54:00,10.0.0.22,intern,SUCCESS,Low,User intern successfully logged in from 10.0.0.22
2026-04-01 11:57:00,192.168.1.21,svc_web,SUCCESS,Low,User svc_web successfully logged in from 192.168.1.21
2026-04-01 11:59:00,10.0.0.15,svc_web,SUCCESS,Low,Accepted password for svc_web from 10.0.0.15 port 22 ssh2
